name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_pct
Adidas Multicolour Cotton Ankle Length Socks for Men - Pack of 3,stores,Amazon Fashion,4.1,2406.0,299.0,479.0,37.58
Planet Superheroes Gaming Regular T-Shirt - Symbols in a Circle,stores,Amazon Fashion,0.0,0.0,799.0,799.0,0.0
YouBella Jewellery Earrings Gold Plated Combo of 24 Stud Tops Earings for Girls and Women,stores,Amazon Fashion,4.1,1702.0,247.0,999.0,75.28
"Garnier Men, Face Wash, Brightening & Anti-Pollution, TurboBright Double Action, 150 g",stores,Amazon Fashion,4.3,33864.0,259.0,325.0,20.31
TIMEX Analog Gold Dial Women's Watch-TW000Q810,stores,Amazon Fashion,4.4,1259.0,2249.0,4395.0,48.83
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Sho...",stores,Amazon Fashion,3.9,2414.0,799.0,2599.0,69.26
The Man Company Machismo Stronghold Hair Wax for Men| Stylish Matte Finish with Volume | Non Sticky - 100gm,stores,Amazon Fashion,3.8,2037.0,265.0,349.0,24.07
Cherry Blossom Wax Polish Black 40 gm & Shoe Shiner Sponge Handy Shine Black,stores,Amazon Fashion,0.0,0.0,148.0,160.0,7.5
Comprehension Skills: Short Passages for Close Reading: Grade 6,stores,Amazon Fashion,4.7,488.0,777.0,777.0,0.0
"Pidilite WD-40, Multipurpose Car care Spray, 420ml Rust Remover, Lubricant, Stain Remover, Powerful Chimney Cleaner, Degre...",stores,Amazon Fashion,4.3,34750.0,290.0,418.0,30.62
ZAVERI PEARLS Pink & Green Beads Cluster Drops Kundan Choker Necklace Earring & Ring Set For Women-ZPFK13800,stores,Amazon Fashion,4.1,296.0,539.0,2995.0,82.0
Lionmati Watch for Boys and Girl Spider Men Kids Light Glowing Watch with Music Tune and Face Cover Multicolor Led Digital...,stores,Amazon Fashion,3.8,351.0,399.0,999.0,60.06
Hush Puppies Men Aaron Derby Formal Shoes,stores,Amazon Fashion,3.9,1981.0,3000.0,3299.0,9.06
"Lakmã Eyeconic Insta Cool Kajal, Black, Cooling Kohl Liner With Cucumber, Twist Up Pencil - Waterproof, Smudge Proof & Lo...",stores,Amazon Fashion,4.3,3623.0,166.0,230.0,27.83
"TUORE AI Voice Input Mouse, RGB Backlit Inbuilt Mic Speaker Ergonomic Design Wired Mouse Widely Compatible for Office (Mut...",stores,Amazon Fashion,0.0,0.0,2306.0,4878.0,52.73
Yellow Chimes Leather Bracelet for Men Magnetic-Clasp Genuine Leather Braided Multi-Layer Wrap Black Bracelet For Men and ...,stores,Amazon Fashion,3.9,492.0,299.0,1299.0,76.98
"Urban Yog Acne Pimple Patch - Invisible Facial Stickers Cover With 100% Hydrocolloid, Pimple Patches For Face (72 Dots) - ...",stores,Amazon Fashion,3.9,7569.0,299.0,349.0,14.33
"Beardo De-Tan Body Wash for Men, 200ml | Tan Removal| Caffeine Body Wash | With Coffee & Aloe Extracts | For Body & Face |...",stores,Amazon Fashion,4.1,1583.0,198.0,250.0,20.8
Shocknshop Simple Sport Digital Men’s Military Watches Electronic LED Time Black Wrist Watch,stores,Amazon Fashion,3.9,132.0,449.0,1599.0,71.92
FLITE Men's Flip Flop,stores,Amazon Fashion,4.3,21085.0,295.0,349.0,15.47
Brinton Healthcare Uvdoux Face & Body Sunscreen Gel With Spf 50 Pa+++ In Matte Finish And Oil Free Formula| Water Resistan...,stores,Amazon Fashion,4.4,5155.0,594.0,699.0,15.02
IndiWeaves� Girls Crepe Digital Printed Stylish Casual Skirts (Single),stores,Amazon Fashion,0.0,0.0,275.0,329.0,16.41
Shining Diva Fashion Latest Choker Design Antique Kundan Traditional Necklace Jewellery Set for Women,stores,Amazon Fashion,3.9,2645.0,258.0,1999.0,87.09
Gopalvilla Women's Spandex & Nylon Waist Shapwear(SFH007_FIT to : 30 to 36),stores,Amazon Fashion,3.7,5658.0,259.0,799.0,67.58
"Storite 6 Slots RFID Blocking Metal Credit Card Holder Wallet for Men & Women(Shiny Black,9.5 x 6.5 x 1.3 cm)",stores,Amazon Fashion,4.0,8361.0,379.0,1799.0,78.93
"Nivea Men Body Wash, Active Clean With Active Charcoal, Shower Gel For Body, Face & Hair, 250 ml",stores,Amazon Fashion,4.2,19869.0,179.0,199.0,10.05
Sonata Analog White Dial Women's Watch NM8976YL02W / NL8976YL02W,stores,Amazon Fashion,4.1,5070.0,649.0,649.0,0.0
crocs Unisex-Adult Classic Slipper,stores,Amazon Fashion,4.1,5007.0,897.0,1995.0,55.04
"Bombay Shaving Company Charcoal Face Wash, Fights Pollution and Acne, Oil Control For Men & Women - 100g",stores,Amazon Fashion,4.0,8439.0,149.0,249.0,40.16
PS Fashionss Boys & Girls Regular Track Pants (PS0019),stores,Amazon Fashion,0.0,0.0,499.0,999.0,50.05
Voylla Brass Silver Oxidised Mandala Design Lightly Embellished Drop Earrings for Women and Girls,stores,Amazon Fashion,4.3,394.0,171.0,499.0,65.73
Bigen Mens Beard Colour Natural Black B101,stores,Amazon Fashion,4.1,11040.0,405.0,450.0,10.0
M MEDLER Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),stores,Amazon Fashion,3.5,23748.0,569.0,2999.0,81.03
NIBOSI Women Watches Analog Rose Gold Square Dial Women's Watch for Girls&Miss&Ladies Diamond Studded with Stylish Watches...,stores,Amazon Fashion,4.1,489.0,1999.0,3000.0,33.37
ASIAN Eco-Friendly Jute Hand Bag-Reusable Tiffin Shopping Grocery Multipurpose Hand Bag with Zip & Handle for Men and Women,stores,Amazon Fashion,4.1,256.0,165.0,499.0,66.93
Illustrated Astanga Hrdaya Text with English Translation and Appendices,stores,Amazon Fashion,4.6,30.0,568.0,675.0,15.85
Bangalore Refinery 24k (999.9) 10 gm Yellow Gold Bar,stores,Amazon Fashion,4.6,1186.0,64644.0,72800.0,11.2
